0--	M, 140283989721088, 64
4863--	M, 140283987638912, 252
4864--	M, 140283987692288, 491
4865--	F, 140283987637712
4866--	F, 140283987665600
4867--	M, 140283987692784, 316
4868--	M, 140283987691408, 59
4869--	M, 140283987706096, 405
4870--	F, 140283987703504
4871--	F, 140283987694176
4872--	M, 140283987635232, 222
4873--	F, 140283987673072
4874--	M, 140283987670608, 283
4875--	F, 140283987706096
4876--	M, 140283987703504, 341
4877--	F, 140283987707344
4878--	F, 140283987646400
4879--	M, 140283987673072, 397
4880--	F, 140283987703504
4881--	F, 140283987676256
4882--	F, 140283987649536
4883--	M, 140283987665584, 142
4884--	M, 140283987707344, 389
4885--	M, 140283987703504, 435
4886--	F, 140283987624688
4887--	F, 140283987648960
4888--	F, 140283987681872
4889--	F, 140283987669376
4890--	F, 140283987660736
4891--	F, 140283987633136
4892--	F, 140283987649744
4893--	M, 140283987694176, 259
4894--	M, 140283987660736, 175
4895--	M, 140283987633136, 379
4896--	F, 140283987660256
4897--	F, 140283987689360
4898--	F, 140283987669840
4899--	F, 140283987653472
4900--	M, 140283987648960, 92
4901--	F, 140283987674224
4902--	F, 140283987673520
4903--	M, 140283987681872, 349
4904--	F, 140283987656192
4905--	F, 140283987632816
4906--	F, 140283987699504
4907--	M, 140283987689360, 425
4908--	F, 140283987683248
4909--	M, 140283987669840, 333
4910--	M, 140283987656192, 187
4911--	M, 140283987674192, 258
4912--	M, 140283987676256, 494
4913--	M, 140283987649488, 399
4914--	F, 140283987702352
4915--	M, 140283987660256, 417
4916--	M, 140283987641536, 103
4917--	M, 140283987706096, 474
4918--	M, 140283987637712, 173
4919--	F, 140283987661680
4920--	F, 140283987704976
4921--	M, 140283987661680, 85
4922--	F, 140283987658224
4923--	F, 140283987691408
4924--	M, 140283987706576, 323
4925--	M, 140283987704976, 259
4926--	F, 140283987633808
4927--	F, 140283987638176
4928--	M, 140283987654880, 264
4929--	F, 140283987664736
4930--	M, 140283987638176, 425
4931--	F, 140283987652592
4932--	F, 140283987643152
4933--	F, 140283989783968
4934--	F, 140283987667664
4935--	M, 140283987673472, 256
4936--	F, 140283987701616
4937--	M, 140283987657120, 472
4938--	F, 140283987706912
4939--	F, 140283987680320
4940--	M, 140283987658224, 447
4941--	M, 140283987674832, 447
4942--	F, 140283987641344
4943--	M, 140283987683168, 150
4944--	M, 140283987675280, 487
4945--	M, 140283987679120, 483
4946--	F, 140283987646640
4947--	M, 140283987671760, 118
4948--	F, 140283987677424
4949--	F, 140283987639296
4950--	M, 140283987664656, 144
4951--	F, 140283987659968
4952--	M, 140283987680288, 211
4953--	F, 140283987669216
4954--	M, 140283987706912, 419
4955--	F, 140283987701904
4956--	M, 140283987699472, 314
4957--	M, 140283987639296, 210
4958--	F, 140283987639616
4959--	M, 140283987646320, 471
4960--	M, 140283987677408, 340
4961--	F, 140283987663824
4962--	F, 140283987668416
4963--	F, 140283987697376
4964--	M, 140283987669216, 436
4965--	F, 140283987675280
4966--	M, 140283987679616, 415
4967--	F, 140283987688528
4968--	M, 140283987665264, 105
4969--	F, 140283987685808
4970--	F, 140283987636512
4971--	F, 140283987660256
4972--	F, 140283987649136
4973--	M, 140283987675280, 483
4974--	M, 140283987633808, 106
4975--	M, 140283987632816, 297
4976--	M, 140283987652576, 254
4977--	M, 140283987688512, 419
4978--	M, 140283987663824, 206
4979--	F, 140283987703504
4980--	F, 140283987663488
4981--	M, 140283987663488, 117
4982--	F, 140283987697856
4983--	F, 140283987675280
4984--	M, 140283987646800, 138
4985--	M, 140283987697376, 327
4986--	F, 140283987656016
4987--	F, 140283987636176
4988--	F, 140283987653552
4989--	M, 140283987656016, 119
4990--	F, 140283987681248
4991--	M, 140283987697840, 457
4992--	M, 140283987703504, 421
4993--	F, 140283987704080
4994--	M, 140283987675280, 455
4995--	M, 140283987641344, 158
4996--	M, 140283987649136, 218
4997--	F, 140283987644704
4998--	M, 140283987668352, 413
4999--	F, 140283987703968
